evaluations raw_y
1 0.9697439876
4 1.6087516088
5 1.6600265604
12 1.8142235123
56 2.0525451560
82 2.2935779817
138 2.6427061311
228 2.7839643653
5005 2.7839643653
evaluations raw_y
1 1.4188422247
6 1.7337031900
42 1.8573551263
86 1.9260400616
93 2.0525451560
122 2.3629489603
177 2.4366471735
178 2.6427061311
214 2.6881720430
5005 2.6881720430
evaluations raw_y
1 1.5299877601
3 1.6425755585
17 1.8355359765
23 2.0798668885
91 2.1968365554
101 2.2603978300
5005 2.2603978300
evaluations raw_y
1 1.0917030568
2 1.5451174289
4 1.7934002869
32 2.2281639929
84 2.4752475248
163 2.6427061311
5005 2.4752475248
evaluations raw_y
1 1.0917030568
2 1.1737089202
7 1.5923566879
32 1.7531556802
34 2.0259319287
56 2.0798668885
62 2.4366471735
5005 2.4366471735
evaluations raw_y
1 0.8175277959
2 1.3340448239
7 1.4863258026
10 2.0259319287
66 2.2935779817
111 2.5562372188
5005 2.5562372188
evaluations raw_y
1 1.5451174289
8 1.5605493134
13 1.5762925599
19 1.8796992481
78 1.9747235387
87 2.2281639929
142 2.3629489603
192 2.7839643653
268 2.8868360277
5005 2.8868360277
evaluations raw_y
1 0.8486082824
2 1.3227513228
6 1.3455328310
13 1.5762925599
17 1.7730496454
64 1.8142235123
74 1.9747235387
75 2.3277467412
126 2.5562372188
5005 2.5150905433
evaluations raw_y
1 0.6374298827
2 1.3340448239
5 1.9500780031
108 2.0000000000
153 2.0798668885
156 2.3992322457
241 2.5150905433
5005 2.5150905433
evaluations raw_y
1 0.8626639061
2 1.2007684918
3 1.3455328310
7 1.6600265604
8 2.0000000000
100 2.3277467412
144 2.4752475248
154 2.6427061311
161 2.8868360277
176 3.1806615776
235 3.9936102236
5005 3.9936102236
evaluations raw_y
1 1.3572204126
5 1.4863258026
6 1.8355359765
12 3.3156498674
5005 2.5150905433
evaluations raw_y
1 1.3691128149
10 1.4060742407
11 2.2603978300
58 2.3629489603
112 2.3992322457
114 2.5562372188
5005 2.5562372188
evaluations raw_y
1 1.5762925599
41 1.7146776406
49 2.1079258010
117 2.3277467412
148 2.3629489603
164 2.5150905433
174 2.5562372188
5005 2.5562372188
evaluations raw_y
1 1.0137875101
3 1.5006002401
4 1.6087516088
28 1.7531556802
31 1.7730496454
39 2.1367521368
53 2.1663778163
74 2.2603978300
88 2.4752475248
5005 2.4752475248
evaluations raw_y
1 1.7531556802
27 2.0000000000
85 2.2935779817
109 2.3992322457
5005 2.3992322457
evaluations raw_y
1 1.5762925599
6 1.7531556802
41 1.8142235123
58 2.1079258010
87 2.2281639929
88 2.5562372188
109 2.8344671202
154 2.9411764706
5005 2.9411764706
evaluations raw_y
1 1.0548523207
2 1.0993843448
4 1.1230907457
12 1.6600265604
17 1.8796992481
27 1.9025875190
30 2.2603978300
72 2.5987525988
105 2.7839643653
122 2.8868360277
144 2.9411764706
166 3.2467532468
5005 3.2467532468
evaluations raw_y
1 1.4863258026
4 1.7337031900
19 2.2603978300
136 2.6427061311
5005 2.3277467412
evaluations raw_y
1 1.6960651289
11 1.8355359765
32 2.0000000000
49 2.0525451560
91 2.5150905433
131 2.7352297593
5005 2.7352297593
evaluations raw_y
1 1.0271158587
2 1.1230907457
4 1.7531556802
22 1.7730496454
23 1.8142235123
36 1.9260400616
84 2.1367521368
184 2.7352297593
248 2.7839643653
5005 2.7839643653
