evaluations raw_y
1283 2.5987525988
1324 2.6427061311
1389 2.8868360277
1414 3.1172069825
2247 3.3875338753
3420 3.4626038781
5000 2.0000000000
evaluations raw_y
1 1.5006002401
12 1.5605493134
21 1.6087516088
22 1.6778523490
42 2.2935779817
604 2.5987525988
1274 2.7839643653
1284 3.1806615776
1518 3.2467532468
1625 3.3156498674
1708 3.9936102236
2353 4.4483985765
5000 2.9411764706
evaluations raw_y
1 0.8973438622
2 1.0917030568
3 1.1478420569
4 1.3455328310
5 1.4585764294
11 2.1968365554
80 2.2603978300
394 2.5987525988
824 2.6881720430
1206 2.7839643653
1779 2.8344671202
2103 2.9976019185
2108 3.1172069825
2237 3.5410764873
5000 3.1172069825
evaluations raw_y
1 1.2588116818
7 1.3812154696
9 1.5923566879
14 2.8344671202
1581 2.9411764706
1717 3.4626038781
5000 3.0562347188
evaluations raw_y
1 0.9944311854
4 1.2899896801
5 1.6778523490
15 1.9500780031
116 2.2281639929
393 2.2603978300
853 2.4366471735
1103 2.4752475248
1171 2.8868360277
1828 2.9411764706
1968 3.1172069825
3251 3.2467532468
3291 3.6231884058
5000 2.9411764706
evaluations raw_y
1 0.9349289454
2 1.6087516088
63 1.6254876463
70 2.0259319287
231 2.5987525988
1123 2.6427061311
1933 2.7352297593
2193 3.0562347188
2712 3.1172069825
3628 3.2467532468
3846 3.3156498674
5000 1.8573551263
evaluations raw_y
1 1.3340448239
7 1.8573551263
97 2.8344671202
1228 2.9411764706
1363 3.1806615776
1370 3.2467532468
1511 3.4626038781
1974 3.6231884058
1980 3.7993920973
2094 4.4483985765
5000 3.7091988131
evaluations raw_y
1 1.0204081633
3 1.6087516088
7 2.1367521368
313 2.2281639929
579 2.3277467412
683 2.3992322457
765 2.4752475248
933 2.7352297593
1283 2.8868360277
1410 2.9976019185
1579 3.0562347188
2150 3.1172069825
2340 3.4626038781
5000 2.0525451560
